lcl_date,lcl_datetime,precipitation_type,prev_hour_precipitation_mm,temperature_C
2024-05-01,2024-05-01 00:00:00,Rain,0.0019073486328125,28.54
2024-05-01,2024-05-01 01:00:00,Rain,0.00286102294921875,28.51
2024-05-01,2024-05-01 02:00:00,Rain,0.00286102294921875,28.51
2024-05-01,2024-05-01 03:00:00,Rain,0.00095367431640625,28.53
2024-05-01,2024-05-01 04:00:00,Rain,0.0019073486328125,28.6
2024-05-01,2024-05-01 05:00:00,Rain,0.0324249267578125,28.59
2024-05-01,2024-05-01 06:00:00,Rain,0.06103515625,28.61
2024-05-01,2024-05-01 07:00:00,Rain,1.1839866638183594,28.56
2024-05-01,2024-05-01 08:00:00,Rain,0.0152587890625,29.09
2024-05-01,2024-05-01 09:00:00,Rain,0.02288818359375,29.6
2024-05-01,2024-05-01 10:00:00,Rain,0.00858306884765625,29.88
2024-05-01,2024-05-01 11:00:00,No precipitation,0.0,30.49
2024-05-01,2024-05-01 12:00:00,Rain,0.0,30.44
2024-05-01,2024-05-01 13:00:00,Rain,0.00476837158203125,30.43
2024-05-01,2024-05-01 14:00:00,Rain,0.003814697265625,29.93
2024-05-01,2024-05-01 15:00:00,Rain,0.05435943603515625,29.77
2024-05-01,2024-05-01 16:00:00,Rain,0.00476837158203125,29.74
2024-05-01,2024-05-01 17:00:00,Rain,0.774383544921875,29.02
2024-05-01,2024-05-01 18:00:00,Rain,3.1595230102539062,27.56
2024-05-01,2024-05-01 19:00:00,Rain,0.926971435546875,27.8
2024-05-01,2024-05-01 20:00:00,Rain,0.29659271240234375,27.95
2024-05-01,2024-05-01 21:00:00,Rain,0.09918212890625,27.87
2024-05-01,2024-05-01 22:00:00,Rain,0.06008148193359375,27.24
2024-05-01,2024-05-01 23:00:00,Rain,0.0095367431640625,27.42
2024-05-02,2024-05-02 00:00:00,Rain,0.0019073486328125,27.46
2024-05-02,2024-05-02 01:00:00,Rain,0.0057220458984375,27.41
2024-05-02,2024-05-02 02:00:00,Rain,0.0057220458984375,27.41
2024-05-02,2024-05-02 03:00:00,Rain,0.08106231689453125,27.5
2024-05-02,2024-05-02 04:00:00,Rain,0.22220611572265625,27.27
2024-05-02,2024-05-02 05:00:00,Rain,0.09250640869140625,27.48
2024-05-02,2024-05-02 06:00:00,Rain,0.021457672119140625,27.71
2024-05-02,2024-05-02 07:00:00,Rain,0.00667572021484375,27.92
2024-05-02,2024-05-02 08:00:00,Rain,0.00286102294921875,28.22
2024-05-02,2024-05-02 09:00:00,Rain,0.0057220458984375,28.86
2024-05-02,2024-05-02 10:00:00,Rain,0.00476837158203125,29.59
2024-05-02,2024-05-02 11:00:00,Rain,0.0,29.99
2024-05-02,2024-05-02 12:00:00,Rain,0.0,30.21
2024-05-02,2024-05-02 13:00:00,Rain,0.00095367431640625,30.38
2024-05-02,2024-05-02 14:00:00,No precipitation,0.0,30.36
2024-05-02,2024-05-02 15:00:00,Rain,0.0,30.31
2024-05-02,2024-05-02 16:00:00,Rain,0.0,30.08
2024-05-02,2024-05-02 17:00:00,Rain,0.0,29.89
2024-05-02,2024-05-02 18:00:00,Rain,0.0,29.72
2024-05-02,2024-05-02 19:00:00,Rain,0.01430511474609375,29.62
2024-05-02,2024-05-02 20:00:00,Rain,0.0019073486328125,29.43
2024-05-02,2024-05-02 21:00:00,Rain,0.00095367431640625,29.28
2024-05-02,2024-05-02 22:00:00,Rain,0.0,29.28
2024-05-02,2024-05-02 23:00:00,Rain,0.003814697265625,29.14
2024-05-03,2024-05-03 00:00:00,Rain,0.03337860107421875,28.94
2024-05-03,2024-05-03 01:00:00,Rain,0.08487701416015625,28.61
2024-05-03,2024-05-03 02:00:00,Rain,0.2732276916503906,28.2
2024-05-03,2024-05-03 03:00:00,Rain,0.057697296142578125,28.08
2024-05-03,2024-05-03 04:00:00,Rain,0.00095367431640625,28.08
2024-05-03,2024-05-03 05:00:00,No precipitation,0.0,28.03
2024-05-03,2024-05-03 06:00:00,No precipitation,0.0,27.97
2024-05-03,2024-05-03 07:00:00,Rain,0.02288818359375,28.09
2024-05-03,2024-05-03 08:00:00,Rain,0.00095367431640625,28.52
2024-05-03,2024-05-03 09:00:00,Rain,0.0,29.15
2024-05-03,2024-05-03 10:00:00,No precipitation,0.0,29.8
2024-05-03,2024-05-03 11:00:00,No precipitation,0.0,30.03
2024-05-03,2024-05-03 12:00:00,No precipitation,0.0,30.01
2024-05-03,2024-05-03 13:00:00,No precipitation,0.0,30.01
2024-05-03,2024-05-03 14:00:00,No precipitation,0.0,29.99
2024-05-03,2024-05-03 15:00:00,No precipitation,0.0,30.0
2024-05-03,2024-05-03 16:00:00,No precipitation,0.0,29.77
2024-05-03,2024-05-03 17:00:00,No precipitation,0.0,29.53
2024-05-03,2024-05-03 18:00:00,Rain,0.0,29.41
2024-05-03,2024-05-03 19:00:00,Rain,0.0,29.38
2024-05-03,2024-05-03 20:00:00,Rain,0.00095367431640625,29.38
2024-05-03,2024-05-03 21:00:00,Rain,0.02002716064453125,29.44
2024-05-03,2024-05-03 22:00:00,Rain,0.034332275390625,29.23
2024-05-03,2024-05-03 23:00:00,Rain,0.0286102294921875,29.15
2024-05-04,2024-05-04 00:00:00,Rain,0.02574920654296875,29.04
2024-05-04,2024-05-04 01:00:00,Rain,0.0133514404296875,28.92
2024-05-04,2024-05-04 02:00:00,Rain,0.01239776611328125,28.77
2024-05-04,2024-05-04 03:00:00,Rain,0.0152587890625,28.64
2024-05-04,2024-05-04 04:00:00,Rain,0.0133514404296875,28.56
2024-05-04,2024-05-04 05:00:00,Rain,0.041961669921875,28.46
2024-05-04,2024-05-04 06:00:00,Rain,0.02574920654296875,28.47
2024-05-04,2024-05-04 07:00:00,Rain,0.07867813110351562,28.54
2024-05-04,2024-05-04 08:00:00,Rain,0.0171661376953125,28.84
2024-05-04,2024-05-04 09:00:00,Rain,0.040531158447265625,29.26
2024-05-04,2024-05-04 10:00:00,Rain,0.042438507080078125,29.86
2024-05-04,2024-05-04 11:00:00,Rain,0.0362396240234375,29.97
2024-05-04,2024-05-04 12:00:00,Rain,0.0057220458984375,29.98
2024-05-04,2024-05-04 13:00:00,Rain,0.003814697265625,30.0
2024-05-04,2024-05-04 14:00:00,Rain,0.00667572021484375,29.91
2024-05-04,2024-05-04 15:00:00,Rain,0.0019073486328125,29.78
2024-05-04,2024-05-04 16:00:00,Rain,0.03528594970703125,29.68
2024-05-04,2024-05-04 17:00:00,Rain,0.0,29.54
2024-05-04,2024-05-04 18:00:00,Rain,0.01430511474609375,29.5
2024-05-04,2024-05-04 19:00:00,Rain,0.0,29.43
2024-05-04,2024-05-04 20:00:00,Rain,0.0,29.28
2024-05-04,2024-05-04 21:00:00,Rain,0.0,29.28
2024-05-04,2024-05-04 22:00:00,Rain,0.000476837158203125,29.36
2024-05-04,2024-05-04 23:00:00,Rain,0.0019073486328125,29.31
2024-05-05,2024-05-05 00:00:00,Rain,0.019550323486328125,29.18
2024-05-05,2024-05-05 01:00:00,Rain,0.08678436279296875,28.9
2024-05-05,2024-05-05 02:00:00,Rain,0.12063980102539062,28.45
2024-05-05,2024-05-05 03:00:00,Rain,0.13399124145507812,28.09
2024-05-05,2024-05-05 04:00:00,Rain,0.102996826171875,27.91
2024-05-05,2024-05-05 05:00:00,Rain,0.10251998901367188,27.82
2024-05-05,2024-05-05 06:00:00,Rain,0.156402587890625,27.72
2024-05-05,2024-05-05 07:00:00,Rain,0.0762939453125,27.77
2024-05-05,2024-05-05 08:00:00,Rain,0.06866455078125,28.25
2024-05-05,2024-05-05 09:00:00,Rain,0.012874603271484375,28.74
2024-05-05,2024-05-05 10:00:00,Rain,0.00762939453125,29.52
2024-05-05,2024-05-05 11:00:00,Rain,0.05054473876953125,29.74
2024-05-05,2024-05-05 12:00:00,Rain,0.06771087646484375,29.78
2024-05-05,2024-05-05 13:00:00,Rain,0.03719329833984375,29.89
2024-05-05,2024-05-05 14:00:00,Rain,0.0019073486328125,29.88
2024-05-05,2024-05-05 15:00:00,No precipitation,0.0,29.83
2024-05-05,2024-05-05 16:00:00,No precipitation,0.0,29.8
2024-05-05,2024-05-05 17:00:00,Rain,0.0,29.69
2024-05-05,2024-05-05 18:00:00,Rain,0.0,29.75
2024-05-05,2024-05-05 19:00:00,Rain,0.0,29.74
2024-05-05,2024-05-05 20:00:00,Rain,0.0,29.64
2024-05-05,2024-05-05 21:00:00,Rain,0.0019073486328125,29.54
